Rank,Rating,Movie
1, 9.3/10 ,The Shawshank Redemption    (1994)
2, 9.2/10 ,The Godfather    (1972)
3, 9.0/10 ,The Godfather: Part II    (1974)
4, 9.0/10 ,The Dark Knight    (2008)
5, 8.9/10 ,12 Angry Men    (1957)
6, 8.9/10 ,Pulp Fiction    (1994)
7, 8.9/10 ,Schindler's List    (1993)
8, 8.9/10 ,The Lord of the Rings: The Return of the King    (2003)
9, 8.9/10 ,"The Good, the Bad and the Ugly    (1966)"
10, 8.9/10 ,Fight Club    (1999)
11, 8.8/10 ,The Lord of the Rings: The Fellowship of the Ring    (2001)
12, 8.8/10 ,Inception    (2010)
13, 8.8/10 ,Star Wars: Episode V - The Empire Strikes Back    (1980)
14, 8.8/10 ,Forrest Gump    (1994)
15, 8.7/10 ,The Lord of the Rings: The Two Towers    (2002)
16, 8.7/10 ,One Flew Over the Cuckoo's Nest    (1975)
17, 8.7/10 ,Goodfellas    (1990)
18, 8.7/10 ,Seven Samurai    (1954)
19, 8.7/10 ,The Matrix    (1999)
20, 8.7/10 ,Star Wars    (1977)
21, 8.7/10 ,City of God    (2002)
22, 8.6/10 ,Baahubali: The Beginning    (2015)
23, 8.6/10 ,It's a Wonderful Life    (1946)
24, 8.6/10 ,Interstellar    (2014)
25, 8.6/10 ,Se7en    (1995)
26, 8.6/10 ,The Usual Suspects    (1995)
27, 8.6/10 ,Life Is Beautiful    (1997)
28, 8.6/10 ,The Silence of the Lambs    (1991)
29, 8.6/10 ,Once Upon a Time in the West    (1968)
30, 8.6/10 ,Léon: The Professional    (1994)
31, 8.6/10 ,City Lights    (1931)
32, 8.6/10 ,Spirited Away    (2001)
33, 8.6/10 ,The Intouchables    (2011)
34, 8.6/10 ,Casablanca    (1942)
35, 8.6/10 ,Saving Private Ryan    (1998)
36, 8.6/10 ,American History X    (1998)
37, 8.6/10 ,Modern Times    (1936)
38, 8.5/10 ,Raiders of the Lost Ark    (1981)
39, 8.5/10 ,Psycho    (1960)
40, 8.5/10 ,Rear Window    (1954)
41, 8.5/10 ,The Green Mile    (1999)
42, 8.5/10 ,Whiplash    (2014)
43, 8.5/10 ,The Pianist    (2002)
44, 8.5/10 ,Terminator 2: Judgment Day    (1991)
45, 8.5/10 ,The Departed    (2006)
46, 8.5/10 ,Gladiator    (2000)
47, 8.5/10 ,Sholay    (1975)
48, 8.5/10 ,Back to the Future    (1985)
49, 8.5/10 ,Sunset Blvd.    (1950)
50, 8.5/10 ,Memento    (2000)
51, 8.5/10 ,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb    (1964)
52, 8.5/10 ,The Prestige    (2006)
53, 8.5/10 ,Apocalypse Now    (1979)
54, 8.5/10 ,Cinema Paradiso    (1988)
55, 8.5/10 ,The Dark Knight Rises    (2012)
56, 8.5/10 ,The Great Dictator    (1940)
57, 8.5/10 ,The Lion King    (1994)
58, 8.5/10 ,The Lives of Others    (2006)
59, 8.5/10 ,Alien    (1979)
60, 8.5/10 ,Paths of Glory    (1957)
61, 8.5/10 ,Grave of the Fireflies    (1988)
62, 8.5/10 ,Django Unchained    (2012)
63, 8.5/10 ,Star Wars: The Force Awakens    (2015)
64, 8.4/10 ,3 Idiots    (2009)
65, 8.4/10 ,The Shining    (1980)
66, 8.4/10 ,Witness for the Prosecution    (1957)
67, 8.4/10 ,WALL·E    (2008)
68, 8.4/10 ,Princess Mononoke    (1997)
69, 8.4/10 ,Das Boot    (1981)
70, 8.4/10 ,M    (1931)
71, 8.4/10 ,American Beauty    (1999)
72, 8.4/10 ,Queen    (2014)
73, 8.4/10 ,Once Upon a Time in America    (1984)
74, 8.4/10 ,Aliens    (1986)
75, 8.4/10 ,Oldboy    (2003)
76, 8.4/10 ,Citizen Kane    (1941)
77, 8.4/10 ,North by Northwest    (1959)
78, 8.4/10 ,A Separation    (2011)
79, 8.4/10 ,Amélie    (2001)
80, 8.4/10 ,Vertigo    (1958)
81, 8.4/10 ,Double Indemnity    (1944)
82, 8.4/10 ,Star Wars: Episode VI - Return of the Jedi    (1983)
83, 8.4/10 ,Braveheart    (1995)
84, 8.4/10 ,Requiem for a Dream    (2000)
85, 8.4/10 ,To Kill a Mockingbird    (1962)
86, 8.4/10 ,Lawrence of Arabia    (1962)
87, 8.4/10 ,Sunrise    (1927)
88, 8.4/10 ,A Clockwork Orange    (1971)
89, 8.4/10 ,Reservoir Dogs    (1992)
90, 8.4/10 ,Toy Story 3    (2010)
91, 8.4/10 ,The Kid    (1921)
92, 8.4/10 ,Bicycle Thieves    (1948)
93, 8.4/10 ,Chakde! India    (2007)
94, 8.4/10 ,Eternal Sunshine of the Spotless Mind    (2004)
95, 8.4/10 ,Taxi Driver    (1976)
96, 8.3/10 ,Singin' in the Rain    (1952)
97, 8.3/10 ,Bhaag Milkha Bhaag    (2013)
98, 8.3/10 ,The Sting    (1973)
99, 8.3/10 ,Amadeus    (1984)
100, 8.3/10 ,All About Eve    (1950)
101, 8.3/10 ,Yojimbo    (1961)
102, 8.3/10 ,The Revenant    (2015)
103, 8.3/10 ,Gangs of Wasseypur    (2012)
104, 8.3/10 ,Rashomon    (1950)
105, 8.3/10 ,Inside Out    (2015)
106, 8.3/10 ,Full Metal Jacket    (1987)
107, 8.3/10 ,Monty Python and the Holy Grail    (1975)
108, 8.3/10 ,The Treasure of the Sierra Madre    (1948)
109, 8.3/10 ,2001: A Space Odyssey    (1968)
110, 8.3/10 ,The Apartment    (1960)
111, 8.3/10 ,Snatch.    (2000)
112, 8.3/10 ,Ikiru    (1952)
113, 8.3/10 ,Metropolis    (1927)
114, 8.3/10 ,Haider    (2014)
115, 8.3/10 ,For a Few Dollars More    (1965)
116, 8.3/10 ,The Third Man    (1949)
117, 8.3/10 ,Inglourious Basterds    (2009)
118, 8.3/10 ,Scarface    (1983)
119, 8.3/10 ,Toy Story    (1995)
120, 8.3/10 ,Some Like It Hot    (1959)
121, 8.3/10 ,L.A. Confidential    (1997)
122, 8.3/10 ,Swades    (2004)
123, 8.3/10 ,Batman Begins    (2005)
124, 8.3/10 ,The Hunt    (2012)
125, 8.3/10 ,Dilwale Dulhania Le Jayenge    (1995)
126, 8.3/10 ,PK    (2014)
127, 8.3/10 ,Indiana Jones and the Last Crusade    (1989)
128, 8.3/10 ,Unforgiven    (1992)
129, 8.3/10 ,Up    (2009)
130, 8.3/10 ,Mr. Smith Goes to Washington    (1939)
131, 8.3/10 ,Downfall    (2004)
132, 8.3/10 ,On the Waterfront    (1954)
133, 8.3/10 ,Raging Bull    (1980)
134, 8.3/10 ,Good Will Hunting    (1997)
135, 8.3/10 ,The Great Escape    (1963)
136, 8.3/10 ,Ran    (1985)
137, 8.3/10 ,The Gold Rush    (1925)
138, 8.3/10 ,The General    (1926)
139, 8.3/10 ,My Neighbor Totoro    (1988)
140, 8.3/10 ,Wild Strawberries    (1957)
141, 8.3/10 ,Chinatown    (1974)
142, 8.3/10 ,Judgment at Nuremberg    (1961)
143, 8.3/10 ,Heat    (1995)
144, 8.2/10 ,Kahaani    (2012)
145, 8.2/10 ,Die Hard    (1988)
146, 8.2/10 ,The Seventh Seal    (1957)
147, 8.2/10 ,The Secret in Their Eyes    (2009)
148, 8.2/10 ,Pan's Labyrinth    (2006)
149, 8.2/10 ,The Bridge on the River Kwai    (1957)
150, 8.2/10 ,Howl's Moving Castle    (2004)
151, 8.2/10 ,Blade Runner    (1982)
152, 8.2/10 ,Warrior    (2011)
153, 8.2/10 ,Incendies    (2010)
154, 8.2/10 ,The Wages of Fear    (1953)
155, 8.2/10 ,"Lock, Stock and Two Smoking Barrels    (1998)"
156, 8.2/10 ,The Wolf of Wall Street    (2013)
157, 8.2/10 ,The Elephant Man    (1980)
158, 8.2/10 ,V for Vendetta    (2005)
159, 8.2/10 ,Rebecca    (1940)
160, 8.2/10 ,Barfi!    (2012)
161, 8.2/10 ,It Happened One Night    (1934)
162, 8.2/10 ,Casino    (1995)
163, 8.2/10 ,Gone with the Wind    (1939)
164, 8.2/10 ,The Big Lebowski    (1998)
165, 8.2/10 ,Cool Hand Luke    (1967)
166, 8.2/10 ,A Beautiful Mind    (2001)
167, 8.2/10 ,How to Train Your Dragon    (2010)
168, 8.2/10 ,Gran Torino    (2008)
169, 8.2/10 ,Mad Max: Fury Road    (2015)
170, 8.2/10 ,Mary and Max    (2009)
171, 8.2/10 ,Dial M for Murder    (1954)
172, 8.2/10 ,Lagaan: Once Upon a Time in India    (2001)
173, 8.2/10 ,The Deer Hunter    (1978)
174, 8.2/10 ,Into the Wild    (2007)
175, 8.2/10 ,Bajrangi Bhaijaan    (2015)
176, 8.2/10 ,Trainspotting    (1996)
177, 8.2/10 ,My Sassy Girl    (2001)
178, 8.2/10 ,The Best Years of Our Lives    (1946)
179, 8.2/10 ,Rush    (2013)
180, 8.2/10 ,Persona    (1966)
181, 8.2/10 ,The Maltese Falcon    (1941)
182, 8.2/10 ,Hachi: A Dog's Tale    (2009)
183, 8.2/10 ,The 400 Blows    (1959)
184, 8.2/10 ,Fargo    (1996)
185, 8.2/10 ,Stalker    (1979)
186, 8.2/10 ,Wild Tales    (2014)
187, 8.2/10 ,The Thing    (1982)
188, 8.2/10 ,Gone Girl    (2014)
189, 8.1/10 ,Finding Nemo    (2003)
190, 8.1/10 ,The Sixth Sense    (1999)
191, 8.1/10 ,Tae Guk Gi: The Brotherhood of War    (2004)
192, 8.1/10 ,Diabolique    (1955)
193, 8.1/10 ,Network    (1976)
194, 8.1/10 ,The Battle of Algiers    (1966)
195, 8.1/10 ,Throne of Blood    (1957)
196, 8.1/10 ,The Princess Bride    (1987)
197, 8.1/10 ,Hotel Rwanda    (2004)
198, 8.1/10 ,Life of Brian    (1979)
199, 8.1/10 ,Touch of Evil    (1958)
200, 8.1/10 ,No Country for Old Men    (2007)
201, 8.1/10 ,Underground    (1995)
202, 8.1/10 ,The Grapes of Wrath    (1940)
203, 8.1/10 ,The Legend of 1900    (1998)
204, 8.1/10 ,Butch Cassidy and the Sundance Kid    (1969)
205, 8.1/10 ,Kill Bill: Vol. 1    (2003)
206, 8.1/10 ,Nausicaä of the Valley of the Wind    (1984)
207, 8.1/10 ,"Black Cat, White Cat    (1998)"
208, 8.1/10 ,Fanny and Alexander    (1982)
209, 8.1/10 ,Platoon    (1986)
210, 8.1/10 ,In the Name of the Father    (1993)
211, 8.1/10 ,There Will Be Blood    (2007)
212, 8.1/10 ,Baby    (2015)
213, 8.1/10 ,8½    (1963)
214, 8.1/10 ,The Avengers    (2012)
215, 8.1/10 ,The Martian    (2015)
216, 8.1/10 ,Stand by Me    (1986)
217, 8.1/10 ,Amores Perros    (2000)
218, 8.1/10 ,What Ever Happened to Baby Jane?    (1962)
219, 8.1/10 ,Ben-Hur    (1959)
220, 8.1/10 ,12 Years a Slave    (2013)
221, 8.1/10 ,The Last Picture Show    (1971)
222, 8.1/10 ,Zindagi Na Milegi Dobara    (2011)
223, 8.1/10 ,Le Samouraï    (1967)
224, 8.1/10 ,Laura    (1944)
225, 8.1/10 ,The Grand Budapest Hotel    (2014)
226, 8.1/10 ,Shutter Island    (2010)
227, 8.1/10 ,Annie Hall    (1977)
228, 8.1/10 ,Memories of Murder    (2003)
229, 8.1/10 ,Departures    (2008)
230, 8.1/10 ,Infernal Affairs    (2002)
231, 8.1/10 ,Harry Potter and the Deathly Hallows: Part 2    (2011)
232, 8.1/10 ,Million Dollar Baby    (2004)
233, 8.1/10 ,Chungking Express    (1994)
234, 8.1/10 ,Donnie Darko    (2001)
235, 8.1/10 ,Gandhi    (1982)
236, 8.1/10 ,Before Sunrise    (1995)
237, 8.1/10 ,La Haine    (1995)
238, 8.1/10 ,3-Iron    (2004)
239, 8.1/10 ,Cat on a Hot Tin Roof    (1958)
240, 8.1/10 ,Solaris    (1972)
241, 8.1/10 ,Barry Lyndon    (1975)
242, 8.1/10 ,"Paris, Texas    (1984)"
243, 8.1/10 ,Who's Afraid of Virginia Woolf?    (1966)
244, 8.1/10 ,La Dolce Vita    (1960)
245, 8.1/10 ,Guardians of the Galaxy    (2014)
246, 8.1/10 ,La Strada    (1954)
247, 8.1/10 ,The Cabinet of Dr. Caligari    (1920)
248, 8.1/10 ,Strangers on a Train    (1951)
249, 8.1/10 ,"Spring, Summer, Fall, Winter... and Spring    (2003)"
250, 8.1/10 ,Elite Squad: The Enemy Within    (2010)
251, 8.1/10 ,Sleuth    (1972)
252, 8.1/10 ,The Celebration    (1998)
253, 8.1/10 ,The Bourne Ultimatum    (2007)
254, 8.1/10 ,The Wizard of Oz    (1939)
255, 8.1/10 ,Castle in the Sky    (1986)
256, 8.1/10 ,Wings of Desire    (1987)
257, 8.1/10 ,Ip Man    (2008)
258, 8.1/10 ,Sin City    (2005)
259, 8.1/10 ,Three Colors: Red    (1994)
260, 8.1/10 ,Jurassic Park    (1993)
261, 8.1/10 ,In the Mood for Love    (2000)
262, 8.1/10 ,The Imitation Game    (2014)
263, 8.1/10 ,Roman Holiday    (1953)
264, 8.1/10 ,Elite Squad    (2007)
265, 8.1/10 ,Anatomy of a Murder    (1959)
266, 8.1/10 ,The Man Who Shot Liberty Valance    (1962)
267, 8.1/10 ,High Noon    (1952)
268, 8.1/10 ,Rocky    (1976)
269, 8.1/10 ,Notorious    (1946)
270, 8.1/10 ,The Philadelphia Story    (1940)
271, 8.1/10 ,The Help    (2011)
272, 8.1/10 ,Stalag 17    (1953)
273, 8.1/10 ,Arsenic and Old Lace    (1944)
274, 8.1/10 ,The Night of the Hunter    (1955)
275, 8.1/10 ,The Hateful Eight    (2015)
276, 8.1/10 ,Akira    (1988)
277, 8.1/10 ,The Sea Inside    (2004)
278, 8.1/10 ,Harvey    (1950)
279, 8.1/10 ,Twelve Monkeys    (1995)
280, 8.1/10 ,"Monsters, Inc.    (2001)"
281, 8.1/10 ,The Big Sleep    (1946)
282, 8.1/10 ,Groundhog Day    (1993)
283, 8.1/10 ,The Hustler    (1961)
284, 8.1/10 ,A Christmas Story    (1983)
285, 8.1/10 ,The Killing    (1956)
286, 8.1/10 ,Rio Bravo    (1959)
287, 8.1/10 ,The Truman Show    (1998)
288, 8.1/10 ,The Terminator    (1984)
289, 8.1/10 ,Pirates of the Caribbean: The Curse of the Black Pearl    (2003)
290, 8.1/10 ,Straight Outta Compton    (2015)
291, 8.1/10 ,Prisoners    (2013)
292, 8.1/10 ,A Streetcar Named Desire    (1951)
293, 8.1/10 ,Jaws    (1975)
294, 8.1/10 ,All Quiet on the Western Front    (1930)
295, 8.1/10 ,Dog Day Afternoon    (1975)
296, 8.1/10 ,Dogville    (2003)
297, 8.1/10 ,Young Frankenstein    (1974)
298, 8.0/10 ,Before Sunset    (2004)
299, 8.0/10 ,A Fistful of Dollars    (1964)
300, 8.0/10 ,Kal Ho Naa Ho    (2003)
301, 8.0/10 ,The King's Speech    (2010)
302, 8.0/10 ,Papillon    (1973)
303, 8.0/10 ,X-Men: Days of Future Past    (2014)
304, 8.0/10 ,Persepolis    (2007)
305, 8.0/10 ,Sling Blade    (1996)
306, 8.0/10 ,The Diving Bell and the Butterfly    (2007)
307, 8.0/10 ,Pink Floyd The Wall    (1982)
308, 8.0/10 ,Beauty and the Beast    (1991)
309, 8.0/10 ,Creed    (2015)
310, 8.0/10 ,The Wild Bunch    (1969)
311, 8.0/10 ,Harold and Maude    (1971)
312, 8.0/10 ,His Girl Friday    (1940)
313, 8.0/10 ,The Perks of Being a Wallflower    (2012)
314, 8.0/10 ,Rope    (1948)
315, 8.0/10 ,The Manchurian Candidate    (1962)
316, 8.0/10 ,The Nightmare Before Christmas    (1993)
317, 8.0/10 ,The Graduate    (1967)
318, 8.0/10 ,East of Eden    (1955)
319, 8.0/10 ,Blood Diamond    (2006)
320, 8.0/10 ,This Is Spinal Tap    (1984)
321, 8.0/10 ,Magnolia    (1999)
322, 8.0/10 ,The Return    (2003)
323, 8.0/10 ,Big Fish    (2003)
324, 8.0/10 ,Catch Me If You Can    (2002)
325, 8.0/10 ,Patton    (1970)
326, 8.0/10 ,Duck Soup    (1933)
327, 8.0/10 ,JFK    (1991)
328, 8.0/10 ,Bringing Up Baby    (1938)
329, 8.0/10 ,Crimes and Misdemeanors    (1989)
330, 8.0/10 ,The Raid 2    (2014)
331, 8.0/10 ,The Exorcist    (1973)
332, 8.0/10 ,The Straight Story    (1999)
333, 8.0/10 ,The Big Short    (2015)
334, 8.0/10 ,"Aguirre, the Wrath of God    (1972)"
335, 8.0/10 ,Dead Poets Society    (1989)
336, 8.0/10 ,Manhattan    (1979)
337, 8.0/10 ,Slumdog Millionaire    (2008)
338, 8.0/10 ,Star Trek    (2009)
339, 8.0/10 ,Rain Man    (1988)
340, 8.0/10 ,Waltz with Bashir    (2008)
341, 8.0/10 ,Jab We Met    (2007)
342, 8.0/10 ,Brazil    (1985)
343, 8.0/10 ,Talk to Her    (2002)
344, 8.0/10 ,Being There    (1979)
345, 8.0/10 ,Short Term 12    (2013)
346, 8.0/10 ,The Adventures of Robin Hood    (1938)
347, 8.0/10 ,Central Station    (1998)
348, 8.0/10 ,Nosferatu    (1922)
349, 8.0/10 ,Whisper of the Heart    (1995)
350, 8.0/10 ,Charade    (1963)
351, 8.0/10 ,Doctor Zhivago    (1965)
352, 8.0/10 ,Dances with Wolves    (1990)
353, 8.0/10 ,Ghost in the Shell    (1995)
354, 8.0/10 ,All the President's Men    (1976)
355, 8.0/10 ,Ratatouille    (2007)
356, 8.0/10 ,Cinderella Man    (2005)
357, 8.0/10 ,Dawn of the Dead    (1978)
358, 8.0/10 ,Battleship Potemkin    (1925)
359, 8.0/10 ,In the Heat of the Night    (1967)
360, 8.0/10 ,Dancer in the Dark    (2000)
361, 8.0/10 ,Aladdin    (1992)
362, 8.0/10 ,The Searchers    (1956)
363, 8.0/10 ,Secrets & Lies    (1996)
364, 8.0/10 ,Black Swan    (2010)
365, 8.0/10 ,Her    (2013)
366, 8.0/10 ,No Man's Land    (2001)
367, 8.0/10 ,The Sound of Music    (1965)
368, 8.0/10 ,Kill Bill: Vol. 2    (2004)
369, 8.0/10 ,Shadow of a Doubt    (1943)
370, 8.0/10 ,Dallas Buyers Club    (2013)
371, 8.0/10 ,Boyhood    (2014)
372, 8.0/10 ,Days of Heaven    (1978)
373, 8.0/10 ,C.R.A.Z.Y.    (2005)
374, 8.0/10 ,Fiddler on the Roof    (1971)
375, 8.0/10 ,Special 26    (2013)
376, 8.0/10 ,Head-On    (2004)
377, 8.0/10 ,Casino Royale    (2006)
378, 8.0/10 ,District 9    (2009)
379, 8.0/10 ,The Iron Giant    (1999)
380, 8.0/10 ,Rosemary's Baby    (1968)
381, 8.0/10 ,Scent of a Woman    (1992)
382, 8.0/10 ,Three Colors: Blue    (1993)
383, 8.0/10 ,Shaun of the Dead    (2004)
384, 8.0/10 ,Hannah and Her Sisters    (1986)
385, 8.0/10 ,Life of Pi    (2012)
386, 8.0/10 ,Frankenstein    (1931)
387, 8.0/10 ,Amarcord    (1973)
388, 8.0/10 ,Mystic River    (2003)
389, 8.0/10 ,Planet of the Apes    (1968)
390, 8.0/10 ,Let the Right One In    (2008)
391, 8.0/10 ,The Artist    (2011)
392, 8.0/10 ,The Lady Vanishes    (1938)
393, 8.0/10 ,The Discreet Charm of the Bourgeoisie    (1972)
394, 8.0/10 ,Mulholland Dr.    (2001)
395, 8.0/10 ,The Incredibles    (2004)
396, 8.0/10 ,Serenity    (2005)
397, 8.0/10 ,Night of the Living Dead    (1968)
398, 8.0/10 ,True Romance    (1993)
399, 8.0/10 ,King Kong    (1933)
400, 8.0/10 ,Breathless    (1960)
401, 8.0/10 ,In Bruges    (2008)
402, 8.0/10 ,The Man from Earth    (2007)
403, 8.0/10 ,Moon    (2009)
404, 8.0/10 ,Freaks    (1932)
405, 8.0/10 ,My Name Is Khan    (2010)
406, 8.0/10 ,Edward Scissorhands    (1990)
407, 8.0/10 ,The Untouchables    (1987)
408, 7.9/10 ,The Pursuit of Happyness    (2006)
409, 7.9/10 ,Spartacus    (1960)
410, 7.9/10 ,Letters from Iwo Jima    (2006)
411, 7.9/10 ,The Blues Brothers    (1980)
412, 7.9/10 ,The Hobbit: An Unexpected Journey    (2012)
413, 7.9/10 ,Almost Famous    (2000)
414, 7.9/10 ,The Breakfast Club    (1985)
415, 7.9/10 ,Midnight Cowboy    (1969)
416, 7.9/10 ,The Conversation    (1974)
417, 7.9/10 ,Before Midnight    (2013)
418, 7.9/10 ,The Hobbit: The Desolation of Smaug    (2013)
419, 7.9/10 ,The Remains of the Day    (1993)
420, 7.9/10 ,The African Queen    (1951)
421, 7.9/10 ,Hero    (2002)
422, 7.9/10 ,Glory    (1989)
423, 7.9/10 ,The Bourne Identity    (2002)
424, 7.9/10 ,Edge of Tomorrow    (2014)
425, 7.9/10 ,Nine Queens    (2000)
426, 7.9/10 ,The Wrestler    (2008)
427, 7.9/10 ,Key Largo    (1948)
428, 7.9/10 ,Once    (2007)
429, 7.9/10 ,The Notebook    (2004)
430, 7.9/10 ,"4 Months, 3 Weeks and 2 Days    (2007)"
431, 7.9/10 ,Cowboy Bebop: The Movie    (2001)
432, 7.9/10 ,Bride of Frankenstein    (1935)
433, 7.9/10 ,The Killing Fields    (1984)
434, 7.9/10 ,The Quiet Man    (1952)
435, 7.9/10 ,The Chaser    (2008)
436, 7.9/10 ,Toy Story 2    (1999)
437, 7.9/10 ,The Outlaw Josey Wales    (1976)
438, 7.9/10 ,Children of Men    (2006)
439, 7.9/10 ,All About My Mother    (1999)
440, 7.9/10 ,A Prophet    (2009)
441, 7.9/10 ,Do the Right Thing    (1989)
442, 7.9/10 ,Bonnie and Clyde    (1967)
443, 7.9/10 ,Ninja Scroll    (1993)
444, 7.9/10 ,Badlands    (1973)
445, 7.9/10 ,The Killer    (1989)
446, 7.9/10 ,G.O.R.A.    (2004)
447, 7.9/10 ,Breaking the Waves    (1996)
448, 7.9/10 ,Hard Boiled    (1992)
449, 7.9/10 ,The Man Who Would Be King    (1975)
450, 7.9/10 ,Stagecoach    (1939)
451, 7.9/10 ,The Fall    (2006)
452, 7.9/10 ,The Insider    (1999)
453, 7.9/10 ,Ed Wood    (1994)
454, 7.9/10 ,How to Train Your Dragon 2    (2014)
455, 7.9/10 ,The Right Stuff    (1983)
456, 7.9/10 ,"Crouching Tiger, Hidden Dragon    (2000)"
457, 7.9/10 ,The Chorus    (2004)
458, 7.9/10 ,Carlito's Way    (1993)
459, 7.9/10 ,Iron Man    (2008)
460, 7.9/10 ,Walk the Line    (2005)
461, 7.9/10 ,Mr. Nobody    (2009)
462, 7.9/10 ,My Fair Lady    (1964)
463, 7.9/10 ,The Double Life of Veronique    (1991)
464, 7.9/10 ,Jules and Jim    (1962)
465, 7.9/10 ,The Boondock Saints    (1999)
466, 7.9/10 ,Lilya 4-Ever    (2002)
467, 7.9/10 ,Shrek    (2001)
468, 7.9/10 ,Miracle on 34th Street    (1947)
469, 7.9/10 ,The Past    (2013)
470, 7.9/10 ,The Ten Commandments    (1956)
471, 7.9/10 ,Avatar    (2009)
472, 7.9/10 ,Big Hero 6    (2014)
473, 7.9/10 ,My Left Foot    (1989)
474, 7.9/10 ,Nightcrawler    (2014)
475, 7.9/10 ,Boogie Nights    (1997)
476, 7.9/10 ,Crash    (2004)
477, 7.9/10 ,Miller's Crossing    (1990)
478, 7.9/10 ,The Edge of Heaven    (2007)
479, 7.9/10 ,The Fault in Our Stars    (2014)
480, 7.9/10 ,The Fighter    (2010)
481, 7.9/10 ,Halloween    (1978)
482, 7.9/10 ,Cabaret    (1972)
483, 7.9/10 ,Captain Phillips    (2013)
484, 7.9/10 ,Kiki's Delivery Service    (1989)
485, 7.9/10 ,The Man from Nowhere    (2010)
486, 7.9/10 ,Taken    (2008)
487, 7.9/10 ,Hot Fuzz    (2007)
488, 7.9/10 ,Gravity    (2013)
489, 7.9/10 ,The Girl Who Leapt Through Time    (2006)
490, 7.9/10 ,The World's Fastest Indian    (2005)
491, 7.9/10 ,Little Miss Sunshine    (2006)
492, 7.9/10 ,Ferris Bueller's Day Off    (1986)
493, 7.9/10 ,Amour    (2012)
494, 7.9/10 ,Veer-Zaara    (2004)
495, 7.9/10 ,Down by Law    (1986)
496, 7.9/10 ,Batman: Mask of the Phantasm    (1993)
497, 7.9/10 ,Blue Is the Warmest Color    (2013)
498, 7.9/10 ,E.T. the Extra-Terrestrial    (1982)
499, 7.8/10 ,Beasts of No Nation    (2015)
500, 7.8/10 ,The Girl with the Dragon Tattoo    (2011)
501, 7.8/10 ,Clerks    (1994)
