Agency ID ,Agency Code,Center,Center Search Status,Facility,Occupied,Status,URL Link,Record Date,Last Update,Address,City,State,ZIP,Country,Contact,Mail Stop,Phone
1,DOD,Air Force Research Laboratory,Public,"Mach 6, High Reynolds Number Facility",1960,Under Rehabilitation,,01/03/1996,09/09/2013,1864 4th St,Wright-Patterson AFB,OH,45433-7541,US,Mr. Chris Love,B015,937 255-1689
2,DOD,Air Force Research Laboratory,Public,Subsonic Aerodynamic Research Laboratory,1985,Active,,01/03/1996,09/09/2013,1864 4th St,Wright-Patterson AFB,OH,45433-7541,US,Mr. Chris Love,B015,937 255-1689
3,DOD,Air Force Research Laboratory,Public,Trisonic Gasdynamics Facility,1960,Active,,01/03/1996,09/09/2013,1864 4th St,Wright-Patterson AFB,OH,45433-7541,US,Mr. Chris Love,B015,937 255-1689
4,DOD,Air Force Research Laboratory,Public,Vertical Wind Tunnel,1960,Active,,01/03/1996,09/09/2013,1864 4th St,Wright-Patterson AFB,OH,45433-7541,US,Mr. Chris Love,B015,937 255-1689
5,DOD,Arnold Engineering Development Center,Public,10V Test Chamber,1965,Active,http://www.arnold.af.mil/library/factsheets/factsheet.asp?id=13106,01/03/1996,23/08/2013,"100 Kindel Dr, MS-1214",Arnold AFB,TN,37389-1214,US,Capabilities Integration Division,AEDC/XPR,(931) 454-6513
6,DOD,Arnold Engineering Development Center,Public,7V Sensor Test Facility,1994,Active,http://www.arnold.af.mil/library/factsheets/factsheet.asp?id=12978,01/03/1996,19/09/2012,"100 Kindel Dr, MS-1214",Arnold AFB,TN,37389-1214,US,Capabilities Integration Division,AEDC/XPR,(931) 454-6513
7,DOD,Arnold Engineering Development Center,Public,Mark I Aerospace Chamber,1963,Inactive,http://www.arnold.af.mil/library/factsheets/factsheet.asp?id=13114,01/03/1996,19/09/2012,"100 Kindel Dr, MS-1214",Arnold AFB,TN,37389-1214,US,Capabilities Integration Division,AEDC/XPR,(931) 454-6513
8,DOE,Pacific Northwest National Laboratory,Public,Atmospheric Measurements Laboratory,,Active,http://www.pnnl.gov/atmospheric/programs/atmos_measurement_lab.stm,23/09/2013,23/09/2013,Battelle Boulevard,Richland,WA,99352,US,Mardell Sours,LSB MSN J2-33,509-372-6026
9,DOE,Pacific Northwest National Laboratory,Public,Atmospheric Radiation Measurement Climate Research Facility,,Active,http://www.pnnl.gov/atmospheric/programs/arm.stm,23/09/2013,23/09/2013,Battelle Boulevard,Richland,WA,99352,US,Mardell Sours,LSB MSN J2-33,509-372-6026
10,DOE,Pacific Northwest National Laboratory,Public,Atmospheric Research Measurement Aerial Facility,,Active,http://www.pnnl.gov/atmospheric/programs/arm_aerial_vehicle_prog.stm,23/09/2013,23/09/2013,Battelle Boulevard,Richland,WA,99352,US,Mardell Sours,LSB MSN J2-33,509-372-6026
11,DOE,Pacific Northwest National Laboratory,Public,Biological Sciences Facility,,Active,www.pnnl.gov,23/09/2013,23/09/2013,Battelle Boulevard,Richland,WA,99352,US,Mardell Sours,LSB MSN J2-33,509-372-6026
12,DOE,Pacific Northwest National Laboratory,Public,Bioproducts Sciences and Engineering Laboratory,,Active,http://www.pnnl.gov/biobased/bsel.stm,23/09/2013,23/09/2013,Battelle Boulevard,Richland,WA,99352,US,Mardell Sours,LSB MSN J2-33,509-372-6026
13,DOE,Pacific Northwest National Laboratory,Public,Environmental and Molecular Sciences Laboratory,,Active,http://www.emsl.pnnl.gov/emslweb/,23/09/2013,23/09/2013,Battelle Boulevard,Richland,WA,99352,US,Mardell Sours,LSB MSN J2-33,509-372-6026
14,DOE,Pacific Northwest National Laboratory,Public,Joint Global Change Research Institute,,Active,http://www.pnnl.gov/atmospheric/programs/jgcri.stm,23/09/2013,23/09/2013,Battelle Boulevard,Richland,WA,99352,US,Mardell Sours,LSB MSN J2-33,509-372-6026
15,DOE,Pacific Northwest National Laboratory,Public,Marine Sciences Facility,,Active,http://marine.pnnl.gov/,23/09/2013,23/09/2013,Battelle Boulevard,Richland,WA,99352,US,Mardell Sours,LSB MSN J2-33,509-372-6026
16,DOE,Pacific Northwest National Laboratory,Public,Materials Sciences & Techonolgy Laboratory,,Active,www.pnnl.gov,23/09/2013,23/09/2013,Battelle Boulevard,Richland,WA,99352,US,Mardell Sours,LSB MSN J2-33,509-372-6026
17,DOE,Pacific Northwest National Laboratory,Public,Radiochemical Process Laboratory,,Active,http://rpl.pnnl.gov/,23/09/2013,23/09/2013,Battelle Boulevard,Richland,WA,99352,US,Mardell Sours,LSB MSN J2-33,509-372-6026
18,DOE,Pacific Northwest National Laboratory,Public,Research Aircraft Facility,,Active,http://www.pnnl.gov/atmospheric/programs/raf.stm,23/09/2013,23/09/2013,Battelle Boulevard,Richland,WA,99352,US,Mardell Sours,LSB MSN J2-33,509-372-6026
19,DOE,Pacific Northwest National Laboratory,Public,Ultra-low Background Counting Laboratory,,Active,www.pnnl.gov,23/09/2013,23/09/2013,Battelle Boulevard,Richland,WA,99352,US,Mardell Sours,LSB MSN J2-33,509-372-6026
20,Intelsat,Intelsat General,Public,Environmental Test Lab-Shaker,1969,Active,,29/04/1996,26/08/2013,28035 Ambergate Drive,Rancho Palos Verdes,CA,90275,US,Bryan Benedict,In-Orbit Servicing,424 206-2725
21,Intelsat,Intelsat General,Public,Environmental Test Lab-Test Chamber ,1969,,,29/04/1996,22/08/2013,28035 Ambergate Drive,Rancho Palos Verdes,CA,90275,US,Bryan Benedict,In-Orbit Servicing,424 206-2725
22,Intelsat,Intelsat General,Public,Large Anechoic Chamber ,1969,,,29/04/1996,22/08/2013,28035 Ambergate Drive,Rancho Palos Verdes,CA,90275,US,Bryan Benedict,In-Orbit Servicing,424 206-2725
23,Intelsat,Intelsat General,Public,Outdoor Antenna Test Range ,1969,,,29/04/1996,22/08/2013,28035 Ambergate Drive,Rancho Palos Verdes,CA,90275,US,Bryan Benedict,In-Orbit Servicing,424 206-2725
24,Intelsat,Intelsat General,Public,Scanning Auger Multiprobe; Electron Microscope ,1969,,,29/04/1996,22/08/2013,28035 Ambergate Drive,Rancho Palos Verdes,CA,90275,US,Bryan Benedict,In-Orbit Servicing,424 206-2725
25,Intelsat,Intelsat General,Public,Semiconductor Fabrication 1 ,1969,,,29/04/1996,22/08/2013,28035 Ambergate Drive,Rancho Palos Verdes,CA,90275,US,Bryan Benedict,In-Orbit Servicing,424 206-2725
26,Intelsat,Intelsat General,Public,Semiconductor Fabrication 2 ,1969,,,29/04/1996,22/08/2013,28035 Ambergate Drive,Rancho Palos Verdes,CA,90275,US,Bryan Benedict,In-Orbit Servicing,424 206-2725
27,Intelsat,Intelsat General,Public,Semiconductor Fabrication 3 ,1969,,,29/04/1996,22/08/2013,28035 Ambergate Drive,Rancho Palos Verdes,CA,90275,US,Bryan Benedict,In-Orbit Servicing,424 206-2725
28,Intelsat,Intelsat General,Public,Semiconductor Fabrication 4 ,1969,,,29/04/1996,22/08/2013,28035 Ambergate Drive,Rancho Palos Verdes,CA,90275,US,Bryan Benedict,In-Orbit Servicing,424 206-2725
29,Intelsat,Intelsat General,Public,Semiconductor Fabrication 5 ,1969,,,29/04/1996,22/08/2013,28035 Ambergate Drive,Rancho Palos Verdes,CA,90275,US,Bryan Benedict,In-Orbit Servicing,424 206-2725
30,Intelsat,Intelsat General,Public,Semiconductor Fabrication 6 ,1969,,,29/04/1996,22/08/2013,28035 Ambergate Drive,Rancho Palos Verdes,CA,90275,US,Bryan Benedict,In-Orbit Servicing,424 206-2725
31,Intelsat,Intelsat General,Public,Semiconductor Fabrication 7 ,1969,,,29/04/1996,22/08/2013,28035 Ambergate Drive,Rancho Palos Verdes,CA,90275,US,Bryan Benedict,In-Orbit Servicing,424 206-2725
32,Intelsat,Intelsat General,Public,Small Anechoic Chamber ,1969,,,29/04/1996,22/08/2013,28035 Ambergate Drive,Rancho Palos Verdes,CA,90275,US,Bryan Benedict,In-Orbit Servicing,424 206-2725
33,Intelsat,Intelsat General,Public,SSTD ,1969,,,29/04/1996,22/08/2013,28035 Ambergate Drive,Rancho Palos Verdes,CA,90275,US,Bryan Benedict,In-Orbit Servicing,424 206-2725
34,Intelsat,Intelsat General,Public,Subjective Evaluation Room ,1969,,,29/04/1996,22/08/2013,28035 Ambergate Drive,Rancho Palos Verdes,CA,90275,US,Bryan Benedict,In-Orbit Servicing,424 206-2725
35,Intelsat,Intelsat General,Public,System Simulation Laboratory ,1969,,,29/04/1996,22/08/2013,28035 Ambergate Drive,Rancho Palos Verdes,CA,90275,US,Bryan Benedict,In-Orbit Servicing,424 206-2725
36,Intelsat,Intelsat General,Public,Video System Lab ,1969,,,29/04/1996,22/08/2013,28035 Ambergate Drive,Rancho Palos Verdes,CA,90275,US,Bryan Benedict,In-Orbit Servicing,424 206-2725
37,NASA 2,Ames Research Center,Public,046 - AIRCRAFT MAINTENANCE HANGAR 2,1943,Active,,05/10/2011,10/09/2014,Code RC,Moffett Field,CA,94035,US,Rocci Caringello,213-1,650 603-9506
38,NASA 2,Ames Research Center,Public,DYNAVAC THERMAL VACUUM CHAMBER,2010,Active,http://www.nasa.gov/centers/ames/research/technology-onepagers/eng_eval_lab.html,29/10/2014,29/10/2014,Code RC,Moffett Field,CA,94035,US,Rocci Caringello,213-1,650 603-9506
39,NASA 2,Ames Research Center,Public,N204A - SPACE TECHNOLOGY BUILDING: AMES VERTICAL GUN RANGE (PAPAC),1966,Active,http://thermo-physics.arc.nasa.gov,01/03/1996,12/06/2014,Code RC,Moffett Field,CA,94035,US,Rocci Caringello,213-1,650 603-9506
40,NASA 2,Ames Research Center,Public,N206A - 12 FOOT PRESSURE WIND TUNNEL AUXILIARIES (PAPAC),1946,Active,,01/03/1996,22/11/2013,Code RC,Moffett Field,CA,94035,US,Rocci Caringello,213-1,650 603-9506
41,NASA 2,Ames Research Center,Public,N221A - 20-G AND HUMAN POWER CENTRIFUGE (PAPAC),1964,Active,http://spacebiosciences.arc.nasa.gov/page/20-g-centrifuge,01/03/1996,18/01/2012,Code RC,Moffett Field,CA,94035,US,Rocci Caringello,213-1,650 603-9506
42,NASA 2,Ames Research Center,Public,N229 - EXPER. AEROTHERMODYNAMIC FAC.: ELECTRIC ARC SHOCK TUBE FACILITY (PAPAC),1961,Active,http://thermo-physics.arc.nasa.gov,01/03/1996,13/06/2014,Code RC,Moffett Field,CA,94035,US,Rocci Caringello,213-1,650 603-9506
43,NASA 2,Ames Research Center,Public,N234 - THERMAL PROTECTION LAB: 2x9 INCH SUPERSONIC TURBULENT FLOW DUCT (PAPAC),1972,Active,http://thermo-physics.arc.nasa.gov,01/03/1996,12/06/2014,Code RC,Moffett Field,CA,94035,US,Rocci Caringello,213-1,650 603-9506
44,NASA 2,Ames Research Center,Public,N234 - THERMAL PROTECTION LAB: AERODYNAMIC HEATING FACILITY (PAPAC),1962,Active,http://thermo-physics.arc.nasa.gov,01/03/1996,13/06/2014,Code RC,Moffett Field,CA,94035,US,Rocci Caringello,213-1,650 603-9506
45,NASA 2,Ames Research Center,Public,N234A - THERMAL PROTECTION LAB BOILER: STEAM VACUUM SYSTEM (PAPAC),1962,Active,http://thermo-physics.arc.nasa.gov,01/03/1996,12/06/2014,Code RC,Moffett Field,CA,94035,US,Rocci Caringello,213-1,650 603-9506
46,NASA 2,Ames Research Center,Public,N237 - HYPERVELOCITY FREE FLIGHT AERODYNAMIC FACILITY (PAPAC),1964,Active,http://thermo-physics.arc.nasa.gov,01/03/1996,13/06/2014,Code RC,Moffett Field,CA,94035,US,Rocci Caringello,213-1,650 603-9506
47,NASA 2,Ames Research Center,Public,N237 - HYPERVELOCITY FREE FLIGHT GUN DEVELOPMENT FACILITY (PAPAC),1964,Inactive,http://thermo-physics.arc.nasa.gov,01/03/1996,19/07/2013,Code RC,Moffett Field,CA,94035,US,Rocci Caringello,213-1,650 603-9506
48,NASA 2,Ames Research Center,Public,N238 - ARC JET LABORATORY: INTERACTION HEATING FACILITY (PAPAC),1975,Active,http://thermo-physics.arc.nasa.gov,01/03/1996,13/06/2014,Code RC,Moffett Field,CA,94035,US,Rocci Caringello,213-1,650 603-9506
49,NASA 2,Ames Research Center,Public,N238 - ARC JET LABORATORY: PANEL TEST FACILITY (PAPAC),1972,Active,http://thermo-physics.arc.nasa.gov,01/03/1996,12/06/2014,Code RC,Moffett Field,CA,94035,US,Rocci Caringello,213-1,650 603-9506
50,NASA 2,Ames Research Center,Public,N240 - CENTER FOR ENGINEERING INNOVATION: FLIGHT PROCESSING CENTER,1982,Active,,01/03/1996,30/01/2012,Code RC,Moffett Field,CA,94035,US,Rocci Caringello,213-1,650 603-9506
51,NASA 2,Ames Research Center,Public,N240 & N244 - MULTI-MISSION OPERATIONS CENTER,,Active,,27/01/2012,30/01/2012,Code RC,Moffett Field,CA,94035,US,Rocci Caringello,213-1,650 603-9506
52,NASA 2,Armstrong Flight Research Center,Public,Bldg. 0703 - Dryden Aircraft Operations Facility,,Active,www.nasa.gov/centers/daof/index.html,13/04/2010,17/12/2014,P.O.Box 273,Edwards,CA,93523-0273,US,Facilities Utilization Officer,"B-4800, Room 2004",661-276-2585
53,NASA 2,Armstrong Flight Research Center,Public,Bldg. 4800 - Research Development & Test Facility,1954,Active,www.nasa.gov/centers/dryden/home/index.html,13/04/2010,19/12/2014,P.O.Box 273,Edwards,CA,93523-0273,US,Facilities Utilization Officer,"B-4800, Room 2004",661-276-2585
54,NASA 2,Armstrong Flight Research Center,Public,Bldg. 4820 - Flight Loads Laboratory ,1966,Active,www.nasa.gov/centers/dryden/research/Facilities/FL,01/03/1996,10/07/2013,P.O.Box 273,Edwards,CA,93523-0273,US,Facilities Utilization Officer,"B-4800, Room 2004",661-276-2585
55,NASA 2,Armstrong Flight Research Center,Public,Bldg. 4824 - Communications Building,,Active,,13/04/2010,19/12/2014,P.O.Box 273,Edwards,CA,93523-0273,US,Facilities Utilization Officer,"B-4800, Room 2004",661-276-2585
56,NASA 2,Armstrong Flight Research Center,Public,Bldg. 4840 - Research Aircraft Integration Facility,1992,Active,www.nasa.gov/centers/dryden/pdf/152685main_RAIF_fa,01/03/1996,17/12/2014,P.O.Box 273,Edwards,CA,93523-0273,US,Facilities Utilization Officer,"B-4800, Room 2004",661-276-2585
57,NASA 2,Armstrong Flight Research Center,Public,Bldg. 4982 - Aeronautical Tracking Facility,,Active,,13/04/2010,19/12/2014,P.O.Box 273,Edwards,CA,93523-0273,US,Facilities Utilization Officer,"B-4800, Room 2004",661-276-2585
58,NASA 2,Armstrong Flight Research Center,Public,Bldg. 703 Mirror Coating Facility,,Active,,25/03/2013,10/07/2013,P.O.Box 273,Edwards,CA,93523-0273,US,Facilities Utilization Officer,"B-4800, Room 2004",661-276-2585
59,NASA 2,Glenn Research Center,Public,"2.2 Second Drop Tower, Bldg. 45",1958,Active,http://microgravity.grc.nasa.gov/drop2/,01/03/1996,13/08/2013,21000 Brookpark Road,Cleveland,OH,44135,US,Linda C. Elonen-Wright,08-juin,216-433-9370
60,NASA 2,Glenn Research Center,Public,"8 x 6 Supersonic Wind Tunnel, Bldgs. 39, 53 & 54",1948,Active,http://facilities.grc.nasa.gov/8x6/index.html,01/03/1996,06/08/2013,21000 Brookpark Road,Cleveland,OH,44135,US,Linda C. Elonen-Wright,08-juin,216-433-9370
61,NASA 2,Glenn Research Center,Public,"9 X 15 Low Speed Wind Tunnel, Bldg. 39",1969,Active,http://facilities.grc.nasa.gov/9x15/index.html,01/03/1996,06/08/2013,21000 Brookpark Road,Cleveland,OH,44135,US,Linda C. Elonen-Wright,08-juin,216-433-9370
62,NASA 2,Glenn Research Center,Public,"Aero Acoustic Propulsion Lab., (AAPL) Bldg. 145",1990,Active,http://facilities.grc.nasa.gov/aapl/index.html,01/03/1996,13/08/2013,21000 Brookpark Road,Cleveland,OH,44135,US,Linda C. Elonen-Wright,08-juin,216-433-9370
63,NASA 2,Glenn Research Center,Public,Aerodynamics Flow Physics Facilities (ERB Complex),1942,Active,http://facilities.grc.nasa.gov/erb/index.html,01/03/1996,13/08/2013,21000 Brookpark Road,Cleveland,OH,44135,US,Linda C. Elonen-Wright,08-juin,216-433-9370
64,NASA 2,Glenn Research Center,Public,Aeropropulsion Heat Transfer Technology Facilities,1942,Active,http://facilities.grc.nasa.gov/erb/index.html,01/03/1996,13/08/2013,21000 Brookpark Road,Cleveland,OH,44135,US,Linda C. Elonen-Wright,08-juin,216-433-9370
65,NASA 2,Glenn Research Center,Public,Combustion and Aerochemistry Technology Facilities,1942,Active,http://facilities.grc.nasa.gov/erb/index.html,01/03/1996,13/08/2013,21000 Brookpark Road,Cleveland,OH,44135,US,Linda C. Elonen-Wright,08-juin,216-433-9370
66,NASA 2,Glenn Research Center,Public,Complex of Thirteen Space Test Chambers (Bldg.16),1942,Active,http://facilities.grc.nasa.gov/eprb/index.html,01/03/1996,13/08/2013,21000 Brookpark Road,Cleveland,OH,44135,US,Linda C. Elonen-Wright,08-juin,216-433-9370
67,NASA 2,Glenn Research Center,Public,"Cryogenic Propellant Tank Fac. (K-Site), #2811",1965,Active,http://www.grc.nasa.gov/WWW/Facilities/ext/ksite/index.html,01/03/1996,13/08/2013,21000 Brookpark Road,Cleveland,OH,44135,US,Linda C. Elonen-Wright,08-juin,216-433-9370
68,NASA 2,Glenn Research Center,Public,DeHavilland DHC-6 Aircraft (N607NA),1942,Active,http://www.lerc.nasa.gov/WWW/AFED/facilities/flig,01/03/1996,13/08/2013,21000 Brookpark Road,Cleveland,OH,44135,US,Linda C. Elonen-Wright,08-juin,216-433-9370
69,NASA 2,Glenn Research Center,Public,Electric Power Lab - Vacuum Facility 5 (VF-5),1961,Active,http://www.grc.nasa.gov/WWW/Facilities/ext/capabilities/spacesim_lewis.html,01/03/1996,13/08/2013,21000 Brookpark Road,Cleveland,OH,44135,US,Linda C. Elonen-Wright,08-juin,216-433-9370
70,NASA 2,Glenn Research Center,Public,Electric Power Lab - Vacuum Facility 6 (VF-6),1961,Active,http://facilities.grc.nasa.gov/epl/index.html,01/03/1996,13/08/2013,21000 Brookpark Road,Cleveland,OH,44135,US,Linda C. Elonen-Wright,08-juin,216-433-9370
71,NASA 2,Glenn Research Center,Public,Electro Magnetic Interference (EMI) Lab,1942,Active,http://facilities.grc.nasa.gov/emi/index.html,01/03/1996,13/08/2013,21000 Brookpark Road,Cleveland,OH,44135,US,Linda C. Elonen-Wright,08-juin,216-433-9370
72,NASA 2,Glenn Research Center,Public,"Icing Research Tunnel (IRT), Bldg #11",1943,Active,http://www.grc.nasa.gov/WWW/Facilities/ext/irt/ind,01/03/1996,07/08/2013,21000 Brookpark Road,Cleveland,OH,44135,US,Linda C. Elonen-Wright,08-juin,216-433-9370
73,NASA 2,Glenn Research Center,Public,Learjet 25 Aircraft (N616NA),1942,Active,http://www.lerc.nasa.gov/WWW/AFED/facilities/flig,01/03/1996,13/08/2013,21000 Brookpark Road,Cleveland,OH,44135,US,Linda C. Elonen-Wright,08-juin,216-433-9370
74,NASA 2,Glenn Research Center,Public,"Materials & Structures Complex (49, 105, 106,etc.)",1943,Active,,01/03/1996,13/08/2013,21000 Brookpark Road,Cleveland,OH,44135,US,Linda C. Elonen-Wright,08-juin,216-433-9370
75,NASA 2,Glenn Research Center,Public,Plumbrook Engineering Building,1966,Active,,01/03/1996,13/08/2013,21000 Brookpark Road,Cleveland,OH,44135,US,Linda C. Elonen-Wright,08-juin,216-433-9370
76,NASA 2,Glenn Research Center,Public,"Power Systems Facility, Bldg. 333 & 333A",1989,Active,http://www.grc.nasa.gov/WWW/Facilities/ext/psf/ind,01/03/1996,13/08/2013,21000 Brookpark Road,Cleveland,OH,44135,US,Linda C. Elonen-Wright,08-juin,216-433-9370
77,NASA 2,Glenn Research Center,Public,"Propulsion Systems Laboratory, Bldg. 125",1972,Active,http://facilities.grc.nasa.gov/psl/,01/03/1996,13/08/2013,21000 Brookpark Road,Cleveland,OH,44135,US,Linda C. Elonen-Wright,08-juin,216-433-9370
78,NASA 2,Glenn Research Center,Public,"Research Analysis Center, Bldg. 142",1980,Active,,01/03/1996,13/08/2013,21000 Brookpark Road,Cleveland,OH,44135,US,Linda C. Elonen-Wright,08-juin,216-433-9370
79,NASA 2,Glenn Research Center,Public,"Research Combustion Laboratory, Bldg. 35",1945,Active,http://www.grc.nasa.gov/WWW/Facilities/ext/rcl/ind,01/03/1996,13/08/2013,21000 Brookpark Road,Cleveland,OH,44135,US,Linda C. Elonen-Wright,08-juin,216-433-9370
80,NASA 2,Glenn Research Center,Public,Reverberant Acoustic Test Facility (RATF),,Under Construction,http://facilities.grc.nasa.gov/spf/,08/07/2010,13/08/2013,21000 Brookpark Road,Cleveland,OH,44135,US,Linda C. Elonen-Wright,08-juin,216-433-9370
81,NASA 2,Glenn Research Center,Public,"Space Experiments Laboratory, Bldg. 110",1993,Active,,01/03/1996,13/08/2013,21000 Brookpark Road,Cleveland,OH,44135,US,Linda C. Elonen-Wright,08-juin,216-433-9370
82,NASA 2,Glenn Research Center,Public,"Statics Test Laboratory, Bldg. 5 (ERB Complex)",1942,Active,http://www.grc.nasa.gov/WWW/Facilities/ext/erb/ind,01/03/1996,13/08/2013,21000 Brookpark Road,Cleveland,OH,44135,US,Linda C. Elonen-Wright,08-juin,216-433-9370
83,NASA 2,Glenn Research Center,Public,"Structural Dynamics Laboratory, Bldg. 56",1949,Active,http://facilities.grc.nasa.gov/sdl/index.html,01/03/1996,05/01/2012,21000 Brookpark Road,Cleveland,OH,44135,US,Linda C. Elonen-Wright,08-juin,216-433-9370
84,NASA 2,Glenn Research Center,Public,Turbomachinery Technology Facilities (ERB Complex),1942,Active,http://www.grc.nasa.gov/WWW/Facilities/ext/erb/ind,01/03/1996,13/08/2013,21000 Brookpark Road,Cleveland,OH,44135,US,Linda C. Elonen-Wright,08-juin,216-433-9370
85,NASA 2,Glenn Research Center,Public,Vacuum Facility 11 (VF-11) Bldg. 16,,Active,http://facilities.grc.nasa.gov/epl/index.html,15/07/2010,13/08/2013,21000 Brookpark Road,Cleveland,OH,44135,US,Linda C. Elonen-Wright,08-juin,216-433-9370
86,NASA 2,Glenn Research Center,Public,Vacuum Facility 12 (VF-12) Bldg. 301,,Active,http://facilities.grc.nasa.gov/epl/index.html,15/07/2010,13/08/2013,21000 Brookpark Road,Cleveland,OH,44135,US,Linda C. Elonen-Wright,08-juin,216-433-9370
87,NASA 2,Glenn Research Center,Public,Vacuum Facility 16 (VF-16) Bldg. 16,,Active,http://facilities.grc.nasa.gov/epl/index.html,15/07/2010,13/08/2013,21000 Brookpark Road,Cleveland,OH,44135,US,Linda C. Elonen-Wright,08-juin,216-433-9370
88,NASA 2,Glenn Research Center,Public,Vacuum Facility 7 (VF-7) Bldg. 16,,Active,http://facilities.grc.nasa.gov/epl/index.html,15/07/2010,13/08/2013,21000 Brookpark Road,Cleveland,OH,44135,US,Linda C. Elonen-Wright,08-juin,216-433-9370
89,NASA 2,Glenn Research Center,Public,"Zero Gravity Research Facility, (Bldg. 110)",1993,Active,http://microgravity.grc.nasa.gov/zero-g/,01/03/1996,13/08/2013,21000 Brookpark Road,Cleveland,OH,44135,US,Linda C. Elonen-Wright,08-juin,216-433-9370
90,NASA 2,Goddard Space Flight Center,Public,"500 BDA: Antenna, 9m S-band",,Active,,01/03/1996,15/08/2013,Greenbelt Road,Greenbelt,MD,20771,US,Barry Green,Code 500,301 286 2520
91,NASA 2,Goddard Space Flight Center,Public,500 BDA: Bermuda Tracking Station (BDA),,Active,,01/03/1996,15/08/2013,Greenbelt Road,Greenbelt,MD,20771,US,Barry Green,Code 500,301 286 2520
92,NASA 2,Goddard Space Flight Center,Public,"500 BDA: Radar, FPQ-6",,Active,,01/03/1996,15/08/2013,Greenbelt Road,Greenbelt,MD,20771,US,Barry Green,Code 500,301 286 2520
93,NASA 2,Goddard Space Flight Center,Public,500 Flight Dynamics Facility,1961,Active,,01/03/1996,16/08/2013,Greenbelt Road,Greenbelt,MD,20771,US,Barry Green,Code 500,301 286 2520
94,NASA 2,Goddard Space Flight Center,Public,500 MILA : Merritt Island Tracking Station (MILA),1966,Active,,01/03/1996,15/08/2013,Greenbelt Road,Greenbelt,MD,20771,US,Barry Green,Code 500,301 286 2520
95,NASA 2,Goddard Space Flight Center,Public,"500 MILA: Antenna, 4.3m S-band",1966,Active,,01/03/1996,15/08/2013,Greenbelt Road,Greenbelt,MD,20771,US,Barry Green,Code 500,301 286 2520
96,NASA 2,Goddard Space Flight Center,Public,"500 MILA: Antenna, 9m S-band",1966,Active,,01/03/1996,15/08/2013,Greenbelt Road,Greenbelt,MD,20771,US,Barry Green,Code 500,301 286 2520
97,NASA 2,Goddard Space Flight Center,Public,"500 WSC: Antenna, 10m S-band",1977,Active,,01/03/1996,15/08/2013,Greenbelt Road,Greenbelt,MD,20771,US,Barry Green,Code 500,301 286 2520
98,NASA 2,Goddard Space Flight Center,Public,"500 WSC: Antenna, 19m S/Ku-band",1977,Active,,01/03/1996,16/08/2013,Greenbelt Road,Greenbelt,MD,20771,US,Barry Green,Code 500,301 286 2520
99,NASA 2,Goddard Space Flight Center,Public,"500/WSC: Antenna, 4.5m S/Ku-band",1977,Active,,01/03/1996,16/08/2013,Greenbelt Road,Greenbelt,MD,20771,US,Barry Green,Code 500,301 286 2520
100,NASA 2,Goddard Space Flight Center,Public,500/WSC: Data Interface System,1977,Active,,01/03/1996,16/08/2013,Greenbelt Road,Greenbelt,MD,20771,US,Barry Green,Code 500,301 286 2520
101,NASA 2,Goddard Space Flight Center,Public,500: Mission Operations Center Facility,1961,Active,,01/03/1996,16/08/2013,Greenbelt Road,Greenbelt,MD,20771,US,Barry Green,Code 500,301 286 2520
102,NASA 2,Goddard Space Flight Center,Public,"500: NASA Communications Facility (NASCOM), B. 3",1961,Active,,01/03/1996,16/08/2013,Greenbelt Road,Greenbelt,MD,20771,US,Barry Green,Code 500,301 286 2520
